run_name,model_size,context_length,mode,dtype,batch_size,warmup,steps,mean_seconds,peak_allocated_mib,peak_reserved_mib,active_peak_mib,active_peak_source,active_or_allocated_source,status,fallback_or_note,failure_exception,failure_stage,failure_peak_summary
xl_ctx128_bs4_forward_bf16_memory,xl,128,forward,bf16,4,5,1,0.040072,19628.009766,19864.000000,19627.775391,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx128_bs4_forward_fp32_memory,xl,128,forward,fp32,4,5,1,0.048665,13241.681641,13258.000000,13241.681641,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx128_bs4_train_step_bf16_memory,xl,128,train_step,bf16,4,5,1,0.238747,52686.977051,59794.000000,52686.289066,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx128_bs4_train_step_fp32_memory,xl,128,train_step,fp32,4,5,1,0.253163,52697.211426,58734.000000,52696.398441,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx2048_bs4_forward_bf16_memory,xl,2048,forward,bf16,4,5,1,0.452402,25984.400391,28136.000000,25983.900391,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx2048_bs4_forward_fp32_memory,xl,2048,forward,fp32,4,5,1,0.505661,21834.400391,24040.000000,21834.400391,archived PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,,,,
xl_ctx2048_bs4_train_step_bf16_memory,xl,2048,train_step,bf16,4,5,1,,,,,not available for OOM row,OOM log retained locally; raw traceback not submitted,FAILED_1,XL context 2048 train_step OOM in naive attention at batch size 4; retried XL context 2048 train_step at batch size 1 successfully.,torch.OutOfMemoryError,forward attention/softmax,tried_allocate=2.00 GiB; gpu_free=452.00 MiB; process_memory=139.36 GiB; pytorch_allocated=138.36 GiB; pytorch_reserved_unallocated=343.94 MiB
xl_ctx2048_bs4_train_step_fp32_memory,xl,2048,train_step,fp32,4,5,1,,,,,not available for OOM row,OOM log retained locally; raw traceback not submitted,FAILED_1,XL context 2048 train_step OOM in naive attention at batch size 4; retried XL context 2048 train_step at batch size 1 successfully.,torch.OutOfMemoryError,forward attention/scores,tried_allocate=2.00 GiB; gpu_free=1.61 GiB; process_memory=138.20 GiB; pytorch_allocated=135.98 GiB; pytorch_reserved_unallocated=1.55 GiB
xl_ctx2048_bs1_train_step_bf16_memory,xl,2048,train_step,bf16,1,5,1,0.506695,84529.213867,86330.000000,84509.837898,memory_fallback.tar.gz PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,fallback retry after batch size 4 OOM,,,
xl_ctx2048_bs1_train_step_fp32_memory,xl,2048,train_step,fp32,1,5,1,0.597609,93397.823242,95284.000000,93390.791023,memory_fallback.tar.gz PyTorch memory history snapshot,torch.cuda.max_memory_allocated/reserved plus PyTorch memory history snapshot,OK,fallback retry after batch size 4 OOM,,,
